"","vtitle","vpoint","vreview"
"120","승리호","8","액션씬이 훌륭하고 씁쓸하면서도 애달픈 무협영화"
"121","순정","8","톰과제리는 옛날부터 많이 봐와서 지루하지 않았는데, 분량이 살짝 아쉽고, 클레이 모레츠와 협동 조합은 잘 안 맞은 거 같네요.."
"122","골든슬럼버","5","재미도 감동도 너어무 없음"
"123","이스케이프 플랜 2: 하데스","10","마스크 젖도록 울고 나옴.... 증말 보고와서 몇일째 못헤어나오는 중.. 싸움씬에 깔리는 오토튠 지리는 음악은 개 소름돋음!!!쿄쥬로ㅠㅠㅠㅠ♥ ♥ ♥ ♥"
"124","미드소마","10","배우분들의 폭발적이면서도 절제된 연기가 너무 인상적이었네요. 윌 패튼의 힐빌리 신앙인 연기도 아주 원더풀 ♪"
"125","해피 투게더","7","유치한맛이 있긴하지만 볼만한 로맨스 영화"
"126","승리호","6","윤여정씨가 어디 아파하는 연기 그 때만 잠깐 훌쩍임. 그 외엔 그닥... 너무 스무스해서 영"
"127","미션 파서블","8","홍콩느와르의 여파가 짙게 풍기지만, 그래도 좋았던 영화!!"
"128","이스케이프 플랜3","9","가슴을 따뜻하게 해주는 정말 좋은 영화입니다 ㅎㅎ"
"129","극장판 귀멸의 칼날: 무한열차편","10","흐르는 강물 영화가 생각나는 잔잔함과 가족애로 감동을 주는 영화였습니다.  ‘할머니가 자리를 잘 잡으셨네’ 엔딩의 대사는 여운이 남습니다.  미나리가 연약해 보이지만 바람결에 흔들리면서 보이는 장면은 한국 정서가 함축되어 보여주는 장면이라고 생각했습니다."
"130","승리호","10","많은 사람들이 보았으면 좋겠다 가족의 의미..."
"131","순정","10","이 영화가 왜 호불호 갈리는지 모르겠습니다 저는 극호였습니다 !"
"132","골든슬럼버","10","쵝오...!!더 이상 말이 필요없음...."
"133","이스케이프 플랜 2: 하데스","9","잔잔하고 따뜻한 영화예요 개인적으로는 스티브 연의 연기가 전형적인 한국인의 모습이 아니어서 좀 아쉬웠지만 전체적으로 앙상블이 좋습니다 오버하지 않고 진정성 있게 끌고 나가는 스토리도 좋고요"
"134","미드소마","10","보는 내내 나는 울었다...ㅠㅠ몰라 왜 울었는지... 그냥 눈물이 났어..."
"135","해피 투게더","10","최고임 어쩌다 마주친 행운의 영화"
"136","승리호","10",""
"137","미션 파서블","8","윤여정 씨의 연기는 어느 드라마, 영화에서처럼의 모습이었는데 이런 모습에 열광한다니 앞으로 윤여정 씨나 다른 한국 배우들이 헐리웃에서 활동할 날이 멀지 않음을 느낀다. 너무나 사실적인 상황과 묘사에 따뜻하고 슬펐다. 한예리와 스티브연, 아역 배우들의 연기가 정말정말 좋았다. YJ는 말할 것도 없다."
"138","이스케이프 플랜3","9","당시엔 어려서 얼마나 심각한지 몰랐는데 좋은 공부 한거 같네요"
"139","극장판 귀멸의 칼날: 무한열차편","10","동심으로 돌아간 느낌이어서 좋았어요~ 클로이 넘 예뻐"
"140","승리호","8","좋은데 난해하기도 해서 어렵네요."
"141","순정","10","영웅본색에 윤발님이 있다면, 귀칼엔 렌코쿠가 있었다!! 렌코쿠~ 넌 참 멋진 놈이야"
"142","골든슬럼버","10","음악이 참 좋았어요. 뭔가 생각을 많이 하게 되는 영화네요. 괜찮았어요~!"
"143","이스케이프 플랜 2: 하데스","10","세 번 봤지만 잼있네요! 정재영 연기 잘하고 한지민은 상큼합니다!! 계획을 세워야해~ 알람을 맞춰야해~ 노래도 좋아요"
"144","미드소마","6","외국인들 눈에는 영화가 신선했나보다. 나에겐 스티븐 연 한국말 많이 늘었네 정도의 감흥."
"145","해피 투게더","10","이 영화는 미치다못해 경이롭다...."
"146","승리호","1","쓰레기 전범영화 퉤 이런영화는 소비 금지임"
"147","미션 파서블","10","8세 아이랑 함께 봤는데 너무 감동적이였어요."
