"","title","point","review"
"196","나는 내일, 어제의 너와 만난다","10","누군가에겐 처음이 가슴 아프고 끝은 설렌다"
"197","몬스터 헌터","3","아니 ㅜㅜ CG, 연출 좋은데 원작을 살렸어야지 시공간을 왜 이동한거냐? 아 왜!"
"198","승리호","9","감동 순간도 아니고 반전부분(우주로 도망치는신)에서 순간 눈물이 났다 왜눈물 났는지도 모르겠다 그이후 계속 눈물이 난다 감동에 희열에 그리고우리나라 영화발전에 강력추천하고 싶다개인적으로 한국영화를 매우싫어한다 재미없어서물론 좋아하는 영화도 몇개 있다 신세계, 7번방의선물,등등 한손으로 꼽을 정도다 그런데 이영화 정말개쩐다 안봤다면 후회했을정도다개인적으로 아쉬운건 태호의활약 너무 없다는거 평이 높다는거 알지만 나도 애아빠라서 그런것 같다"
"199","아홉수 로맨스","10","배우분들의 훌륭한 연기가 스토리의 공감을 더욱 이끌어내주시네요! 재밌게 잘 봤습니다"
"200","미나리","10","가족의 힘이 이토록 대단한것이었다는걸 느끼게 해주는 영화 였다"
"201","극장판 귀멸의 칼날: 무한열차편","5","헉 오덕들 아직도 많네 ㅋㅋㅋㅋ 반일불매운동도 이제 거의 끝나가는듯 하구만"
"202","더블패티","2","이걸봐? 대단하네 보는사람들 무슨 생각으로 보는걸까나?"
"203","스파이","9","문소리 아줌마 연기 현실성 오짐ㅋㅋ"
"204","미션 파서블","6","모르겠어요 도대체 무슨"
"205","터미네이터: 미래전쟁의 시작","4","몇 번을 봐도 각본이 쓰레기라는 점만 확인한다. 애초에 마커스라는 캐릭터는 없어야 했고, 존 코너와 카일 리스 위주로 암울한 미래를 충실히 그려냈어도 충분했을 텐데. 시작 40분만에 등장하는 거대 로봇과 오토바이 로봇 장면이 전부. 다시는 안보기 위한 평점을 남긴다"
"206","6월의 일기","5","좀 더 짜임새있었으면 괜찮은 스릴러가 되었을텐대. 아쉽"
"207","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠 돌려주세요...."
"208","입을 연 석류","10","배경이 추억을 돋게 하는 한국명작.  차분하게  당시의  버스.택시.서민들의 집. 다방. 술집. 나이트크럽 등등  당시의 여러 부분을 보면서  의외로 재미가 있는 작품."
"209","콘스탄트 가드너","8","코로나도 혹시 제약사들의 빅플랜?"
"210","고백","10","저예산 독립영화를 cgv에서 볼수있어서 좋았고 낯선얼굴의 연기자들의 연기가 신선했고 연출 영상미 좋았고 박하선씨 자전거타는모습이 예뻤습니다"
"211","몬스터 헌터","1","보면서 영화 불가사리+에이리언2020+레인오브파이어 생각났음ㅋ 생김새만 다르고 특징 그대로 따온 몬스터들ㅋㅋ 개인적으로 여기서 밀라요보비치 연기도 별로... 그냥 영화 전체적으로 별로임ㅋ 메가로돈 본 뒤로 중국자본영화 믿고 거른다 였는데 지인때문에 뭔지도 모르고 봤다가....ㅋ 심지어 쿠키영상도 있음ㅋ 2탄 예고인듯?ㄷㄷㄷ"
"212","미션 파서블","10","진짜 세상 개재밌음 이  영화를 보면 다들 김영광한테 빠짐 진짜 김영광은 꾸미는거보다 후질근 한게 더 잘생긴거같다 진짜 사랑스러움 ㅠㅠ"
"213","리틀드래곤 코코넛2: 정글대탐험","2","아이와영화는거의다봤지만이렇게재미없고지루한영화는처음이였어요..영화좋아하는우리아이도 계속재미없다고지루하다해서 중간까지보다가나갔네요다른 애니메이션은 아이들뿐아니라제가봐도집중되고 재밌던데이건 영.. 실망스럽네요"
"214","이웃집 스타","10","진짜 재밌다 진짜 내인생 영화이다"
"215","소울","10","디즈니의 화려한 애니메이션과 별개로, 내용만 봤을 때, 너무 이상적이어서 괴리감이 들었다. 그래서 평점대비 그저 그런 영화라고 생각하고 나왔다. 근데 영화를 보고 나서 바람을 맞을 때, 햇살을 맞을 때, 바람이랑 햇살이 시원하고 따뜻하게 ""느껴진다"". 잠시 멈춰서 햇살과 바람을 느끼게 된다. 세상을 이렇게 순수하게 살 수 있다면 얼마나 좋을까."
"216","카오스 워킹","6","티비광고보고 7년만에 보러간 영화라 너무 기대가 컸나봅니다. 광고에서는 엄청 긴장되고 스펙타클 해보였으나 영화보는 내내 언제쯤 그런장면이 나오는지 기다리다  영화가 끝나네요요즘 영화들이 이제 안방용 영화들인가 봅니다.티비에 올라오면 봐도 될뻔한 영화였어요 메인주제 자체는 참신했으나 스토리 연개성이 떨어지는 편이었어요기억에 남는게 별로없는 영화였습니다."
"217","극장판 귀멸의 칼날: 무한열차편","10","마지막 10분 좀 넘는 전투씬은 역대 본 애니 중 최고였습니다."
"218","나이브스 아웃","10","돈보다 사람을 중시할 때 돈은 그냥 따라온다."
"219","날씨의 아이","10","모든게 완벽했던 영화다 .. 신카이마코토는 단언컨대 천재이다/.. 모든 장면과 인물 하나하나가 사회에서 볼수있는 공감적인요소들이 많아서 더 몰입할수있었다 ..특히 날씨의아이 ost는 정말 좋다.. 그랜드이스케이프틀때 온몸에 전율이 흐르면서 숨죽이면서 보았다  내마음속 영화 1위이다"
"220","반드시 잡는다","4","스토리가 너무 진부하다.."
"221","짝패","10","액션신이 최고입니다 ㅎ헤"
"222","새해전야","1","2021년도에 이런 영화가 나올 수 있다니 그저 신기할 뿐... 아니 왜 평점 빵점이 없는 거야. 1점 주는 것도 아까워보긴 정말 처음이다. 에휴.. 정신차려라 진짜 이런 걸 영화라고 만들고 싶냐? 오글거리는 게 문제가 아니라 그냥 이런 건 스크린에 걸면 안되는 거야. 연기도 평가가 안 되는 영화야. 영화가 너무 구리고 구닥다리라 그냥 다 못 해보여서. 타겟으로 삼은 연령층이 영유아기 연령이라면 이해가 가능하긴 해."
"223","소울","10","일단 보세요"
"224","소울","10","나중에 나에게 아이가 생긴다면, 꼭 같이 보고 싶은 영화"
"225","승리호","10","넷플릭스에서 봤는데 영화관에서 안본게 후회될 정도로 너무 재밌게봤어요 아역들의 연기와 승리호의 주연들 케미가 장난 아니네요 연출력, 스토리 또한 탄탄해서 시간가는줄 몰랐어요 진짜ㅠㅠ꽃님이 순이 꽃길만 걸었으면♡"
"226","극장판 귀멸의 칼날: 무한열차편","10","미쳤어요 귀칼애니부터 진짜영상미오짐 제발빨리2기방영부탁드립니다 현기증나요"
"227","미션 파서블","10","배우분들 연기를 잘해서 양화도 재밌습니다"
"228","뱅가드","1","뱅가드 때문에 컴터 존나 끊김 안티핵 프로그램이랍시고 컴퓨터 말아잡수실 일 있나"
"229","추격자","6","여자가 숨어있는 가게에 타이밍 맞춰 풀려난 범인이 딱 찾아 들어간 것부터가 현실성 떨어짐.                                                         현실이 더 소설같을 때도 있으니 그럴 수도 있겠지만 그랬다면 그건 그 여자의 명이 원래 거기까지이니 차라리 처음에 욕조에서 살해된 것으로 시나리오를 쓰는게 더 리얼리티가 있었을듯.                                         경찰 수사도 납득이 안되는게 연쇄살인 용의자를 체포했으면 마지막 피해자로 추정되는 여자를 어디로 데려갔는지, 최근 어디에 은신하고 있었는지부터 알아내서              주거지 압색 영장 발급받아 여자의 생사, 범행 도구와 피해자 시신같은 물증 확보가 수사의 최우선일텐데 프로파일러 데려다가 한가하게 범행 동기나 캐고 앉았냐.               그리고 경찰서가 무슨 마을 회관인가. 일반인이 연쇄 살인 용의자를 찾아가서 막 뚜드려 패고 그러는 것도 어처구니 없고...        시나리오에 우연이 너무 많이 개입되고 허술한 부분이 많아 전반적으로 몰입도가 떨어짐. 그래서 6점"
"230","나를 기억해","2","돈있으면 그냥기부해라 이런쓰레기영화찍지말고  화난다"
"231","좋아해줘","10","이 모든걸 조경아작가의 자기자신 얘기를 다른이야기와 만든 작품이라면"
"232","완벽한 타인","8","거의 한장소에서 찍은영화인데지루하지않게 잘풀었다이서진은 너무 쓰레기로 나오네 ㅋㅋ"
"233","소울","7","딸과 함께 봤는데 아이들이 이해할 수 있는 수준은 아니어서다소 아쉬웠으나삶에 대한 물음표를 던지게 하는철학적인 문제를 재미있게 풀어낸 영화.어른에게 위로를 주는 영화."
"234","다우더","10","공감되는것이 많았어요"
"235","침묵","10","이건 진짜 끝까지봐야함 반전이있는 영화"
"236","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠사마ㅠㅠ 별기대없이 봤는데 감동ㅠㅠ"
"237","시간이탈자","6","음.... 방해포인트1. ost..  쓸데없이 거창하고 쓸데없이 쓸쓸해서 몰입도 떨어지게 만듦 개연성 없이 막 집어넣은 ost  2. 이진욱 연기력.. 뭔가 다른 배우분들과 섞이지가 않네요..원래 이런식의 영화는 스토리상 어디 하나라도 구멍이 생기기 마련.. 연기력 몰입도로 보는건데 그나마 몰입도는 떨어지려다 잡아주는 구간이 있었는데 위 두가지가 좀 망쳤네요갠적으론 1번이 더 망..."
"238","레드 히트","8","코미디 아님, 네이버는 영화좀 보고 장르 선정해줄래?"
"239","82년생 김지영","9","하도 욕 하길래 안 보다가 이제야 봤는데좋은 영화네요 재밌게 잘 받습니다"
"240","극장판 귀멸의 칼날: 무한열차편","10","아...진짜 띵작 ㅠㅠㅠ 렌고쿠 사랑해.."
"241","플라이트","10","덴젤워싱턴의 알코올중독 연기가 끝내준다. 개인적으로 로버트 저메키스 감독의 다른 영화들보다 훨씬 더 좋았다."
"242","먼 훗날 우리","10","배경 ,영상미, 음악 , 배우들 연기 다 미쳤다 오랫만에 첫사랑 감정 느끼게 해 준 너무 아름다운 영화 , 인생영화 한편 저장"
"243","해피 디 데이","10","강아지는 사람보다 사람마음을 더 잘 아는...절대로 배신하지 않는 친구 입니다. 너무 재밌고 사랑스런 영화에요"
"244","라스트 레터","7","여주는 이뻤다"
"245","국제수사","1","감상포인트 없음은 왜 없는거죠? 너무 유치하고 재미없었습니다."
"246","투모로우","10","진짜 이영화가 현실이 될까봐 무섭다ㅠ"
"247","매그놀리아","10","행복을 제외한 모든 감정들을 소름끼치게 느낄수 있었다."
"248","돌아온다","8","씬스틸러 최병장 ㅋㅋ 정극 연기도 진짜 잘하네요"
"249","호랑이보다 무서운 겨울손님","7","그래서 호랑이보다 무서운 겨울손님은 뭐였을까. 글을 쓰는것을 그만둔 후 찾아갔던 햄버거가게 알바도 경쟁률이 셌고, 대리기사일을 하며 거쳐갔던 손님들도 결코 녹록치 않았다. 호랑이보다 무서웠던 것은 냉혹한 현실이었다. 여자친구의 집을 떠나 친구의 집에 머물 때도, 그 집을 떠나 유정의 집에 들어갔을 때도 차가운 현실을 마주했다. 어느날 밤엔 호랑이를 피해 도망쳤지만 그곳에서 또 다른 누군가의 현실을 보게되었다. 그리고 그녀를 구한 후에야 호랑이에게 쫓겼던 사실을 기억해낸다. 이제 그는 호랑이를 마주한다. 힘겨운 현실속에 호랑이 쯤은 너무나 사소하다. 펜과 노트를 사서 한 글자 한 글자 적어내려간다."
"250","죽지않는 인간들의 밤","10","논스톱 감성 구리구리느낌나고 간만에 겁나웃었습니다 ㅋㅋㅋ"
"251","카오스 워킹","5","이병헌이 백X산에 출연하는거나...매즈 미켈슨이 이 영화에 출연하는거나...도찐개찐(웃음)"
"252","유전","10","우리 이영화 안본걸로합니다."
"253","승리호","10","재밌따 꽃님이 너무 기엽다"
"254","#살아있다","6","음... 걍 개연성읎구, 죙일 집에만 있다가, 잠깐 다른 집갔다가 옥상올라가고 끝나서,,,싱겁고,,, 시간도 짧긴 한디, 걍 시간때올때 볼만해유~~ 진짜 좀비 연기자들이랑, 유아인이 연기덕에 봤다"
"255","방라잔 2 : 결전의 날","9","방라잔2결전의날 짱"
"256","용순","1","시나리오 개판에 배우들 연기 개판에 심지어 매력도없어서 몰입력을 저하시킴 ; 이딴영화 상준 영화제는 뭔생각인지"
"257","베리드","7","산소야 고마워 산소야 고마워"
"258","변신","9","뭔가 부족한게 한두개 있는 느낌이지만 괜춘괜춘"
"259","몬스터 헌터","2","게임의 실사화는 사실 사일런트힐 이외에는 별 기대하지않는다는 점을 감안하고 감상해도 이건 좀 이상타 리오레우스 다아블로스 네르스큐라 고어마가라는 놀라울정도로 CG나 모션디테일, 포효까지 게임과 비슷하게 구현해서 몰입감이 생길뻔하다가도 생태계 구현포기, 스토리 전개 포기, 세계관 구현 포기 등등 정작 중요한 부분이 너덜너덜하다.또 OST는 누가 만든건지 정말....이런거 왠만하면 안남기는데 이거는 참....각 몬스터 CG 구경 빼곤 아무리 쥐어짜도 칭찬거리가 없는 영화."
"260","완벽한 타인","10","실은 얘네 별로 안친한듯 합니다"
"261","세자매","9","많은 생각을 하게 해주는 영화입니다몹시 불편하면서도 동시에 북받쳐 눈물이 나네요"
"262","극장판 귀멸의 칼날: 무한열차편","10","가정교육의 중요성 매우 중요합니다"
"263","미져리","10","30년된 영환데 지금 봐도 너무 재밌음 ㅋㅋㅋㅋ 애니 넘 무섭"
"264","라플라스의 마녀","2","일본은 배우 대부분 연기가 부자연스러움. 그래서 안 봤음."
"265","에반게리온: Q","8","방심하다 깼다"
"266","해바라기","10","소피아 로렌 영화 찾아보다 . 뜨악 이영화 보다 사랑이 너무 슬퍼서 울었네요 꼭보세요"
"267","세자매","10","어휴.. 진짜 대한민국 대변영화인줄 ㅠㅠ 모든 장면이 다 현실이고 울컥한다옛날에 자식들에게 하는 표현 방식들은 왤케 폭력적이였으까요 ㅠ지금 부모님들이 보면 마음에 위로를 받으시지 않으까 하는 영화 인거 같아요 주연조연할꺼없이 연기라고 안 믿길 만큼 표정부터 대사하나까지 너무 좋았던 영화!!2020년 올해를 이 영화로 시작하는 느낌입니다"
"268","2012","8","cg만으로도 큰점수를 먹고 들어가는영화 엔진 스따뜨는 보너스"
"269","82년생 김지영","10","왜 이제야 봤나 싶어요너무 공감가고 가슴아팠습니다"
"270","국가부도의 날","10","97년도 첫직장을 다녔었는데...그때보다 지금이 더 힘들다...코로나 빨리 사라졌으면"
"271","브로큰 플라워","6","기묘하게 잘 어울리는 빌 머레이와 OST."
"272","죽지않는 인간들의 밤","7","비급호러나 병맛을 좋아하는 취향이라 나름 재미나게 봤음 ㅎㅎㅎ호불호가 있겠지만,  한국에 드문 장르라 개취로는 굿"
"273","클래식","10","인생 영화중  한편이지요.  정말  살인적인  연기력과  빨려드는  스토리와 슬픔."
"274","워터월드","10","개봉당시엔 말도안되서 저평가 받고 지금은 현실이 될거같으니 고평가받는듯"
"275","파이브 피트","10","그냥 이런 영화 보면 눈물이 좔좔 흐른다다른 로맨스들과 클리셰는 비슷할 지언정 이런 잔잔한 감성은 확실히 다른 듯"
"276","PMC: 더 벙커","10","넷플로 봤는데 3년간 본 영화 중 최고입니다.총과 전쟁이 주 스토리라 여자분들은 재미가 반감될수 있으나 남자분들은 강추 드립니다.북한이나 미국이나 뭐 정치적인 거는 다 떠나서....영상이 너무 좋습니다."
"277","그린 마일","10","어미어마한 명작이다! 감동에 또 감동..이런 인생 명작 이제서야..2021년에야 봤다.."
"278","극장판 귀멸의 칼날: 무한열차편","1","너무 역겹습니다 이런 일뽕에 차서 욱일기 사용하는 작가의 작품을 무비판적으로 수용하는 사람들이 너무 많다니 사람들이 점점 멍청해져 가는 것이 맞는 것 같습니다. 이거 보는 사람들 제발 정신 차리시고 책을 읽으시던지 산책을 하세요 제발 공부도 좀 하시고 운동도 하시는데 제발 일뽕 애니에 빠져서 정신 못 차리지만 마세요 연출 연기 스토리 영상미 OST 다 쓰레기 같습니다"
"279","니나 내나","10","분위기와 흐름이 자연스럽고 끝내 아름답고 사랑스러운 영화"
"280","해피뻐스데이","10","한씬 한씬 궁금해서 계속 보게되는 영화.."
"281","레드 닷","2","아 진짜 개는 건드리지 마라ㅡㅡ"
"282","온리 더 브레이브","7","일반인들이 알 수 없었던 소방관의 새로운 면모를 보여준 영화스토리가 전형적이긴 하나 볼 만은 하다"
"283","굿 윌 헌팅","10","It’s not your fault."
"284","군도:민란의 시대","10","잼있네. 시간 가는 줄 모르고 봤어."
"285","셰이프 오브 워터: 사랑의 모양","6","불필요한 장면과 어설픈 개연성과대평가 받은 작품"
"286","프리즈너","1","25분 버텼다 ㅜ.ㅜ 너무 하노 진짜 ㅋㅋㅋ"
"287","완벽한 타인","10","이 영화는 그냥 최고다... 몇번을 봐도 안 질리네"
"288","머니백","9","가볍게 보려했는데 연출과 코믹 케미 작렬"
"289","아수라","10","아니 이렇게 명작이 평점이 왜이리 낮음? 개 잼있는데.. 처음에 본것보다 두번째보니 명작이였네.."
"290","서치","7","인종주의적 설정의 한계."
"291","지구를 지켜라!","10","와 이런 영화가 있었어?.. 최근 신하균 배우님 연기에 빠져서 작품 찾다가 보게된영화 이건 장르가 뭐죠?.. SF 라고만 단정 짓기엔 미스터리 스릴러에 고어한 느낌도 있고 사회적 현실도 적절히 잘 반영된 블랙 코미디?.. 러닝 타임동안 이 영화의 온도차가 들쑥날쑥 하지만 전혀 이상하지 않은건 이캐릭터의 이배우들이 였기에 가능했던게 아닐까 정말 지구는 누가 지키죠? 여운이 오래 남아 몇번 더 찾아 보게 될듯 리메이크 희망해봅니다"
"292","마담 싸이코","8","스릴있는 영화지만 뻔한 스토리와 결말이 예상되는 내용 나쁜년 연기는 훌륭했다.발연기는 일품ㅋㅋ"
"293","미션 파서블","10","김영광 잘생겼다"
"294","향수 - 어느 살인자의 이야기","10","천재는 미친놈인 것 같아요"
"295","굿바이 그레이스","5","가족을 잃은 슬픔의 순간을 잘 전달하고 있는데, 전반적으로 무난하고 특색이 없다는 것이 단점이다."
"296","극장판 귀멸의 칼날: 무한열차편","10","재밌습니다 작화가 좋아요"
"297","남자가 사랑할 때","10","남자가 눈물 흐르게 만들었네요"
"298","러빙 빈센트","10","영화에서 연출된 모든 것이 서로 시너지를 내면서 작품을 완벽하게 만들었다 한가지 아쉬운건 내가 이 영화를 영화관에서 못 본거.."
"299","배드 사마리안","2","기대안하고 봤는데 너무 별로에요. 90년대에 복붙처럼 막 찍어댄 흔한 스릴러느낌. 괜찮은 소재였는데..감독이 못살렸어요. 소재가 너무 아깝습니다."
"300","뺑반","1","뜬금 신파야 참겠는데... 1도 없는 개연성... 허술한 액션... 의미없이 감수하는 위험.... 못 봐줄정도다.... 차뒤에 서서 쏴도 되는걸 굳이 길막고 쏘다 피하고... 온갖 복선이 다 너무 튀어서 앞날이 너무 뻔한데 차 액션도 구려... 긴박감도 없고... 염정화 역할도 오바스럽고... 아니 이 배우들 가져다 이렇게 낭비하는게 ㅋㅋㅋㅋ 진짜 그것도 기술이다... 연출력이 진짜 대박임... 어쩜 이리 재미없게 만드는지... 너무 뻔하게 흘러가는데 인물들의 행동이 다 그냥 맹목적이다. 맹목적으로 착하고 나쁘고 선하고 정의감넘치고... 그와중에 반전들마저 어설프고... 액션은 속도감대신 축축쳐진다. 배기음이 강렬하다고 속도감이 붙는게 아님... 중학생 수준의 스토리에... 제일 문제는 감독의 연출... 찍어놓고 아까워서 늘어난 영화시간까지... 뭐 괜찮은게 하나도 없다..."
"301","라이프 오브 파이","10","죽기전에 안보면 손해인 영화"
"302","첨밀밀","10","단추 참~~~ 힘들게 채워준다"
"303","크리스마스 캐롤","10","정말 너무 재밌게 봤습니다"
"304","강철비2: 정상회담","6","국뽕도없고 답답하고 억지스럽고  미국대통령이 연기 제일 잘합니다"
"305","극장판 귀멸의 칼날: 무한열차편","10","보면 가슴이 웅장해지는 영화  2기 기다리면서 후유증이 너무 심하다 차라리 안 봤을 때로 돌아가고 싶다 너무 재미있다"
"306","가려진 시간","10","스토리가 너무 복잡하지 않은 환타지영화라서 보는데 스트레스가 없다. 영상미가 뛰어나고 배우들의 연기도 좋고 기승전결 스토리도 짜임새있다"
"307","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠를위한 영화 안보고후회하지말고 일단 보세요"
"308","세자매","8","김선영님의 연기는 가히 최고였지만  맡은 역할에 대해선 이해가 되지 않는 부분이 있다. 학대 받고 살아왔다고 저렇게 평생을  폭력을 인정하며 , 마치 그러는 편이 편해보인다는듯 산다고? 거기에는 동의 할 수 없다.장윤주님의 연기도 좋았지만 학교씬은 현실과는 너무 거리가 멀지 않았나 싶다.  다시 느끼지만 가정폭력을 인정하며 사는 순간  그건 인간이길 포기한거다"
"309","머니백","8","탄탄한 스토리에 튼실한 연기...수작이다."
"310","라라랜드","10","그냥 생각없이 틀었다가 많은 생각과 또 로스엔젤레스의 아름다움을 알게 해준 영화였네요마지막 부분은 특히 내젊은시절 아무것도 없이 꿈만 행해서 뛰어든 시절을 생각나게해 눈물이 나네요ㅠㅠ 스토리 연기 가릴거 없이 완벽한 영화였어요 이번달 중순에 하필 LA로 출국 예정인데 감흥이 정말 어마어마하네요ㅠ"
"311","그것만이 내 세상","10","인생 top5 영화.최고의 배우들"
"312","기방도령","9","조선시대 분위기를 가볍게 담으면서 시대배경을 잘 표현한거 같습니다."
"313","승리호","10","좋은데요? 기대 안하고 봤는데 한국영화 발전 많이한듯"
"314","그대, 고맙소 : 김호중 생애 첫 팬미팅 무비","10","넷플릭스로 지금 또 보고있는데그날의 감동이ㅠ 볼때마다 감동"
"315","극장판 귀멸의 칼날: 무한열차편","10","대사와 그림체 모두 기대이상 이었습니다ㅎㅎ넘 감동이었습니다ㅜㅜ"
"316","빽 투 더 퓨쳐 3","10","2021년에 다시봐도 미침. 죽여주는영화"
"317","체이싱","1","아 이게 무슨 3류 영화냐"
"318","커뮤터","9","오랜만에 흥미진진했던 영화 연기력은 말해뭐해... 좁은공간에서 주는 은근한 긴장감도 좋았다"
"319","오세암","9","처음본지 20년이 가까이 지났고, 가끔 어쩌다가 연관검색에 나와도 쉽게볼수없다..그예전 눈물흘렸던게 기억나서.."
"320","몬스터","6","지금은 어린애들 데리고 이런영화 못찍음.그잘난 인권충들 때문에.   몇년만에 다시보니 초호화 캐스팅이네. 지금은 민기가 절대 주연급이 아닌데 ㅎ 대단하네.김고은은 여자들이 은근히 시샘하고 싫어하는거 같네. 김고은은 남자들의 로망이다."
"321","세자매","10","누군가에게 꼭보라고 추천을 할만큼인진 모르겠지만내가 이영화를 봤다는게 참 행운이구나 느끼는영화"
"322","라스트 레터","6","이와이 슌지의 전작보다 많이 부족한 편지"
"323","PMC: 더 벙커","10","평점 너무낮네...ㅜ 볼만했는데"
"324","벤자민 버튼의 시간은 거꾸로 간다","10","사랑하는 사람들과 헤어질 수 밖에 없는 삶이란"
"325","세자매","10","디테일이 살아있음... 결혼해서 세자매가 저러는데 남편들이 불쌍함... 여자들은 감정 조절이 힘듬."
"326","티파니에서 아침을","8","Moon River 노래 너무 좋다.60년대인데 왠지 지금보다 세련된거 같다오드리헵번만 소화 할 수 있는 옷들 특히 맨처음에 검정드레스에 커피와 크루아상을 먹는 장면은 명장면이다."
"327","그랜드 부다페스트 호텔","10","보는내내 눈이 즐거운영화.보는장면이 모두 액자속 그림같은 어둡고 침침한 교도소안도 앤틱하고 분위기있게 그려내는  감독의 연츨력이 대단합니다.보고 후회하지않을 영화입니다."
"328","아마겟돈","10","영화도 물론인데 OST가 죽여줌"
"329","골든슬럼버","1","주인공이 착한역이요. 모자른역이요.애를 왜 저지경으로 만들어 놓나. 하. 할말이 없다. 감독누구나."
"330","마담 싸이코","8","사설탐정이 왜케 허술하고 멍청한거야"
"331","세자매","10","최근 본영화중에 최고"
"332","절대쌍교","10","어렸을 때 정말 재밌게 본 영화죠~ 유덕화, 임청하 멋있어요. 이화궁중도 멋있고~~"
"333","사랑은 비를 타고","7","singin'in the rain~고전 뮤지컬영화는 역시 굿탭댄스를 추는 장면이 제일 좋았다"
"334","완벽한 타인","10","극단적으로 표현했지만 우리 인생과 같다.주변을 돌아보게 되는 영화"
"335","소울","8","감독이 뭔가 너무 가르치고 싶어하는듯... 물론 끄덕여지는것은 있으나 현재를 살라는 내용의 명상 자기계발 이런것도 워낙 많아그런가  메세지도 약간 진부음악과 영상은 좋음 ^^"
"336","미션 파서블","10","다 필요없고 영화관에서 남자 둘이서 봄요"
"337","극장판 귀멸의 칼날: 무한열차편","8","중반까진 루즈한면이 있지만 후반부로 갈수록 재밌어요"
"338","가나의 혼인잔치: 언약","9","무시라....ㄷㄷㄷ 낮에 오시면 안 될까요 ㄷ"
"339","원더","10","미소머금고 보다가 눈물 흘렸어요..친구들도 멋져요"
"340","그 여자 작사 그 남자 작곡","10","스토리 ost 연기 다 너무 좋았던 영화"
"341","올드 가드","10","와 눈도 안깜빡이고봄... ㅋㅋㅋ 액션 지렷다ㅠㅠㅠ"
"342","케이 팩스","10","케빈 스페이시의 정감가는 얼굴때문인지 더욱 감동은 증폭된다."
"343","극장판 귀멸의 칼날: 무한열차편","1","일본영화임. 끝"
"344","극장판 귀멸의 칼날: 무한열차편","10","화려한 영상미에서 힘이 느껴지네요. 감동과재미다잡았네요."
"345","사랑하기 때문에","10","아진짜 뭐야... 이 띵작...아무생각없이 넷플에서 호감배우 차태현님 때문애 봤는데 ㅜ.ㅜ차태현님 작품 보는 눈 수준이 높은건가?왜 다 감동적인거임 ㅜ.ㅜ 개꿀잼 강추입니다!!!한번 보고 두번 보시고, 세번도 보세요!"
"346","하모니","10","울고싶은날 이영화보고 펑펑울었네요 나문희님 연기는 정말 100점드리고싶어요 여운이남네요 .."
"347","복수는 나의 것","8","피해자들끼리의 복수란"
"348","돌이킬 수 없는","1","와16분이나 봤네요 정신병 걸릴거 같아요음악이랑 화면이 약빠는 느낌보고나면 맨정신이 상쾌해져요"
"349","친절한 금자씨","9","너 나 잘 하 세 요 . 박찬욱 감독은 실망 시키지 않는다."
"350","양아치 느와르","10","돈안들이고 이정도면 뭐 선방했네...저 아저씨 첫 주연인데 조금 아쉽...ㅎㅎ"
"351","온리 더 브레이브","10","감동그자체 강추 말로 표현을 못하겠다"
"352","극장판 귀멸의 칼날: 무한열차편","10","염주 죽은거 에바야...."
"353","클로젯","6","분수를 알고 삽시다. 지나친 열정은 욕심으로 발전한다."
"354","로빈 훗","6","늘어지는 호흡과 클리셰가 몰입하기 힘들지만, 블록버스터의 가치는 한다"
"355","소울","10","진짜 인생 영화일줄이야..진짜 인생 영화 맞았네요혼자 조용히 집중해서 또 보고싶은 영화에요"
"356","솔트","10","슈나이더가 백악관에 동지가 또 있다.라고 한순간 테드가 생각나면서 소름이 돋았다 . 안젤리나졸리 진짜 지구최강 멋있다"
"357","초이스","10","지금 순간이 최고인듯 살자"
"358","죽지않는 인간들의 밤","8","어이없는데 뭔가 웃겨요 ㅋ병맛웃음?ㅋ"
"359","최미역행","1","이 영화는 ""짱""입니다"
"360","퍼펙트 케어","10","스토리가 신선 미국에서는 실제로 이런가 싶기도 간만에 기대안하고 재밌게 본 작품"
"361","소울","7","오랜만에 힐링되는 영화였다."
"362","판더믹","1","최악의 영화. 이기주의의 극치"
"363","나이브스 아웃","8","마지막 반전은 예상 못했는걸"
"364","남극일기","4","지금보면 배우라인업오지는데 흥행망함ㅋㅋ"
"365","더 스토닝","10","아.. 진짜 이 영화 우연히 알게 되었는데.. 종교는 악귀들의 모임인가? 신의 뜻으로 사람을 죽인다??사람에게 그렇게 할 권한을 어떤 신이 주었단 말인가? 그런 신은 죄다 악귀이지.. 신이 아니다. 남자의 탐욕으로 죄없는 여인을 투석형으로 죽이다니.. 종교는 아무리 생각해도 사람에게 탐욕을 위해 존재하는 도구일뿐이라는 생각이다."
"366","나이브스 아웃","10","아 잼나 너무 잼나 영국 느낌 분위기도 넘아 조아 영국 발음도 좋아"
"367","스승의 은혜","10","전시대 이시대 선생들이 꼭 봐야할 영화. 앞으로 자라나는 아이들에게 상처주지 말기를. 30년이 지난 지금도 국5때 당했던 기억에 마음이 아픕니다"
"368","가장 보통의 연애","1","숢먹는 반복된 장면 보기 싫어서 중간에 안봄"
"369","이웃사촌","1","완전 편파적 관점으로 있지도 않은 사실을 마치 실제인양 묘사하는 정치색이 짙은 친공 주의 영화네요...보다가 중단하게 되는 몇안되는 불후의 병작"
"370","세 얼간이","10","알 이즈웰~~ 중독되어버렸다"
