"","title","point","review"
"44","와호장룡","8","액션씬이 훌륭하고 씁쓸하면서도 애달픈 무협영화"
"45","톰과 제리","8","톰과제리는 옛날부터 많이 봐와서 지루하지 않았는데, 분량이 살짝 아쉽고, 클레이 모레츠와 협동 조합은 잘 안 맞은 거 같네요.."
"46","미나리","5","재미도 감동도 너어무 없음"
"47","극장판 귀멸의 칼날: 무한열차편","10","마스크 젖도록 울고 나옴.... 증말 보고와서 몇일째 못헤어나오는 중.. 싸움씬에 깔리는 오토튠 지리는 음악은 개 소름돋음!!!쿄쥬로ㅠㅠㅠㅠ♥ ♥ ♥ ♥"
"48","미나리","10","배우분들의 폭발적이면서도 절제된 연기가 너무 인상적이었네요. 윌 패튼의 힐빌리 신앙인 연기도 아주 원더풀 ♪"
"49","나의 소녀시대","7","유치한맛이 있긴하지만 볼만한 로맨스 영화"
"50","미나리","6","윤여정씨가 어디 아파하는 연기 그 때만 잠깐 훌쩍임. 그 외엔 그닥... 너무 스무스해서 영"
"51","미나리","8","윤여정 씨의 연기는 어느 드라마, 영화에서처럼의 모습이었는데 이런 모습에 열광한다니 앞으로 윤여정 씨나 다른 한국 배우들이 헐리웃에서 활동할 날이 멀지 않음을 느낀다. 너무나 사실적인 상황과 묘사에 따뜻하고 슬펐다. 한예리와 스티브연, 아역 배우들의 연기가 정말정말 좋았다. YJ는 말할 것도 없다."
"52","국가부도의 날","9","당시엔 어려서 얼마나 심각한지 몰랐는데 좋은 공부 한거 같네요"
"53","톰과 제리","10","동심으로 돌아간 느낌이어서 좋았어요~ 클로이 넘 예뻐"
"54","미나리","8","좋은데 난해하기도 해서 어렵네요."
"55","극장판 귀멸의 칼날: 무한열차편","10","영웅본색에 윤발님이 있다면, 귀칼엔 렌코쿠가 있었다!! 렌코쿠~ 넌 참 멋진 놈이야"
"56","미나리","10","음악이 참 좋았어요. 뭔가 생각을 많이 하게 되는 영화네요. 괜찮았어요~!"
"57","플랜맨","10","세 번 봤지만 잼있네요! 정재영 연기 잘하고 한지민은 상큼합니다!! 계획을 세워야해~ 알람을 맞춰야해~ 노래도 좋아요"
"58","미나리","6","외국인들 눈에는 영화가 신선했나보다. 나에겐 스티븐 연 한국말 많이 늘었네 정도의 감흥."
"59","이미테이션 게임","10","이 영화는 미치다못해 경이롭다...."
"60","극장판 귀멸의 칼날: 무한열차편","1","쓰레기 전범영화 퉤 이런영화는 소비 금지임"
"61","소울","10","8세 아이랑 함께 봤는데 너무 감동적이였어요."
"62","간신","8","보는내내 속이 거북했어요..남자분들 혼자만 보세요 커플끼리는 비추해요..자극적이기는 엄청 자극적이에요..김강우 연기랑 연회장면이 기억에 남아요 여주인공 예쁘네요.."
"63","미나리","6","가족이 아메리칸 드림 이루는 모습이 나왔으면 더 좋았을듯 연기는 굿임"
"64","너의 여자친구","7","이엘리야 이쁜맛에보긴봤는데.. 휠체어에 곰돌이인형.. 매달고 다니지마라.. 죽는다..진짜;;"
"65","톰과 제리","6","색다른 영상미를 느낄수있었다. 배우들 연기잘함"
"66","미나리","9","고난 속에서 살아남는 가족 이야기. 기생충이 사회 부조리를 콕 짚어 내려다봤다면, 미나리는 현장 속으로 쑥 들어가 버린다. 연기, 촬영, 음악도 고루 좋은 듯"
"67","극장판 귀멸의 칼날: 무한열차편","10","그냥 애니메이션을 보면서 영상에 압도된적은 처음이었습니다. 정말 최고네요"
"68","미나리","10","할머니가 보고 싶어졌다."
"69","미나리","8","잔잔하고 아름다운.미나리 옆 잔물결같은 영화."
"70","국가부도의 날","1","감독님, 촬영장에 불좀 키고 찍으세요."
"71","미나리","6","내가 공감할수 없는 세대의 이야기 보고 나서도 여전히 공감하지 못했다"
"72","토이 스토리 3","10","나의 어릴 적 동심과 추억을 예쁜 앨범으로 만들어 준 행복한 선물같은 영화"
"73","완벽한 타인","10","조온나재밌음ㅋㅋ보는내내 개꿀잼"
"74","퀵","6","여기 나왔던 조연들은 다 대박이다... 지금 다 잘나가는 사람들만 나오네"
"75","미션 파서블","10","간만에 한국영화 재밌어요 ^^"
"76","미나리","10","그럼에도 불구하고 꿋꿋하게!"
"77","극장판 귀멸의 칼날: 무한열차편","10","최고의 영화입니다. 추천합니다."
"78","미나리","10","담백한 연출이 좋았어요"
"79","미나리","8","삶을 되돌아 보게 하는 잔잔한 영화입니다"
"80","극장판 귀멸의 칼날: 무한열차편","10","4번 즙짰습니다1. 탄지로 꿈속 회상씬2. 렌코쿠 첫 기술3. 렌코쿠 부상 후 탄지로 오열4. 렌코쿠 사망 직전 어머니 재회씬진짜 귀칼은 전설입니다"
"81","원더풀 고스트","4","대한민국 관객의 눈은 높아졌음. 이게 뭐임."
"82","덕구","10","그냥 영화시작하고 20분지나고부터 계속 울었어요 휴지뽑고 닦고 다젖고 젖어서 계속 눈물났어요 마음이저릴듯이크게다가온영화에요 저는 할아버지가 아주애기때 돌아가셔서 추억이없어 공감되는스토리는아니였던 제가 이정도오열하는데 하 정말 너무감동받고 그냥 마음속 깊게 새기고싶은 영화입니다 너무 잘봤어요"
"83","미나리","4","뭐 어쩌라는건지 기대가 너무 높았나 엥 스러웠다..갑자기 집에서 티비만 보고있으라니깐 구지구지 쓰레기를 태우고 미나리 찬양에...음;"
"84","미나리","10","이용철이는 평점이 항상 낮냐"
"85","뚝방전설","7","킬링타임용 괜찮음.철부지가 현실을 깨닫고 철이 드는 과정.주연,조연보다 우정출연한 유지태의압도적인 장악력이 돋보이는 작품."
"86","미나리","8","진짜 가족같은, 모든 배우들의 연기가 넘 좋았어요. 특히 한예리 배우님의 연기가 이번에 눈에 띄게 좋았습니다. 윤여정 배우님의 새로운 할머니 역할도 참 인상 깊었고, 극의 중심을 잘 잡아주셔서 참 좋았습니다. 잔잔한 연출과 OST도 무척 좋았구요. 가족의 의미를 다시 새기는 좋은 영화였습니다."
"87","미나리","10","가장의 무게를 그 시대를 빌어 잘 표현한 영화입니다!!"
"88","완벽한 타인","10","배우들의 연기력이 대박이다...."
"89","미나리","8","소박하지만 담백하게, 어디에서든 피어날 사람들의 이야기"
"90","미나리","4","독립영화같은느낌차분하고조용한"
"91","벤자민 버튼의 시간은 거꾸로 간다","10","띵작이다 띵작.. 왜 이걸 이제야 봤지"
"92","극장판 귀멸의 칼날: 무한열차편","10","영상미가 좋아요 역시 귀칼"
"93","미나리","10","잔잔하게 감동적 입니다."
"94","먼 훗날 우리","10","주동우가 차안에서 애처럼 우는게 정말 와닿고 나조차 눈물이 났다."
"95","에브리타임 룩 앳 유","10","재미있게 잘봤어요^^"
"96","극장판 귀멸의 칼날: 무한열차편","10","재밌어요~ 애니 내용 몰라도 대충 이해됩니다"
"97","피막","9","아무 생각없이 보다 얻어 걸린 대박영화네요...웃음과감동 그리고 적절한 공포....개봉한지 8년이 지난 지금 감상했습니다한국 뮤직 비디오에도 출연한 이력이 있는여주인 다비카후네~  지금도 유명하고 이쁘지만8년전 미모가 더 이쁜거 같네요!!"
"98","열혈형사","10","인권씨를 좋아하는 팬으로써 안타깝네요.개성과 연기력에 걸맞는 좋은영화 만나시길..."
"99","빛의 아버지: 파이널 판타지 XIV","10","미쳤다진짜 어떻게 이런 영화를 만들 수 있지RPG 끊었는데 또 하고 싶어짐 ㅠ"
"100","디지몬 어드벤처 라스트 에볼루션 : 인연","10","와...내추억... 진짜 눈물나네여 ㅠㅠ"
"101","황해","10","작품성으론 사실상 또 하나의 만점 영화, 무슨 설명이 더 필요한가? 한 마디로 명불허전 나홍진의 또 하나의 곡성과 추격자, 그나저나 아내가 임신했는대도 불구하고 마음 속으로 피눈물을 흘리며 강간씬을 찍은 철민이 형님 제발 이젠 좀 뜨고 편하게 살았으면 좋겠습니다..."
"102","극장판 귀멸의 칼날: 무한열차편","8","아 나 너무 기대하고 가서 좀 아쉬웠음 울 준비 다했는데 한방울 흘리고 나옴"
"103","미나리","8","그럼에도 가족, 그렇기에 가족."
"104","미나리","9","괴로워도 슬퍼도 꿋꿋이 강하게 살아갈, 이 세상 모든 미나리들을 응원하며."
"105","극장판 귀멸의 칼날: 무한열차편","10","최고의 애니다 흑....감동적이고 슬포"
"106","극장판 귀멸의 칼날: 무한열차편","10","좋다.. 좋아.. 4dx로 보세요.."
"107","미나리","8","희망이 사라져도 희망은 있다"
"108","피아니스트","10","최고의 실화영화입니다 꼭 보세요  이런 영화 다시는 없을듯"
"109","머니백","10","생각도 못한 재미 !!ㅋㅋ 시간가는 줄 모르고 웃다 울다 재밌습니다!!"
"110","죽여주는 여자","10","암울했지만 정말 잘봤습니다 윤여정님 최고"
"111","미나리","9","성장영화입니다. 깊은곳에서 오는 감정이 있었어요.미나리 많이 넣은신선한 회무침이 생각나요저 뭔소리하는거죠ㅋㅋㄱ영상미, 음악 다 좋아요"
"112","미나리","8","영화가 아니라 누군가의 삶을 살짝 엿본 것 같다. 특히나 영화 마지막 부분의 사진들... 우리 고모네에 걸려있는 빛바랜 사진액자와 똑 닮아서 놀랐다. 향이 진한 미나리를 좋아하지 않지만, 언젠가 타국에서 살게 된다면 미나리를 그리워하게 되려나 라는 생각을 한번 하게 해준 영화."
"113","미나리","10","최고의 수혜자는 브레드 핏 ! 감독은 소설같은 전개를 영상으로 잘 펼쳤고 문학적 베이스가 매우 탄탄하다고 누껴졌움"
"114","핫 썸머 나이츠","6","그냥 뻔한 결말에 뻔한 내용, 하지만 미래에서 과거를 해설하는 것과 중간중간 흘러나오는 음악들, 옜날 미국의 분위기가 너무 좋았던 영화였다"
"115","82년생 김지영","6","책읽었지만 초반부에는 흥미진진해서 읽었지만 끝까지 반전은없었고  그냥 너무나 평범한 현대여성의 결혼후의 모습 다 그리살지않나 그렇지만 왜 헛소리를한거지?치매는 아닌거잖아요 ㅋ작가의 고발프로 피디출신다웠음!!"
"116","톰과 제리","6","스토리 많이 부족하고 부실하지만톰과 제리 를 영화관에서 본것만으로도 만족합니다."
"117","카오스 워킹","10","소재도 신선하고 간만에 극장에서 재밌게 봄"
"118","소울","10","간만에 힐링하고 너무 좋았어요!"
"119","미나리","2","기대에  다소  미치지 못함이 있었던듯 하다어   ~   이케 끝났어  하는 느낌 뭐지"
"120","암수살인","10","이건 진짜 긴장감 레전드"
"121","미나리","10","영화 후반부 데이빗이 뛰어가던 장면, ‘할머니 가지마! 우리랑 같이 살자!’ 영원히 잊혀지지 않을 것 같다."
"122","미나리","1","다들 좋은 평을 내고 있는 마당에...감독과 제작진 거의 모두 한국인이 아닌데 너무 많은 매스컴에서 마치 자랑스런 한국인이 만든 한국영화인냥 은근슬쩍 작품국적을 둔갑시키고 있다는 생각을 했다. 전형적인 동양여성의 외형을 가진 한예리와 윤여정의 캐스팅은 완벽했다. 그러나 스티븐연의 어눌한 한국말에 보는내내 어색했다. 그리고 느닷없는 윤여정의 중풍은 고다르의 쩜프컷이 생각났다. 제발 JTBC는 이 작품을 봉준호의 기생충 영광인냥 재현하지 말아주었으면... 기생충과 미나리는 다르다."
"123","라스트 레터","10","옛날 그 감동 그대로*^^*"
"124","마이너리티 리포트","10","역시 스필버그임 영화관에서 못본게 아쉬운 영화"
"125","스타워즈: 라스트 제다이","1","평론가분들께 바칩니다"
"126","미나리","10","잔잔한 여운이 오래 가는 영화그리고 윤여정"
"127","미나리","6","가족이 웬수다 이거하나 느낌 왜 이렇게 호평받고 상을 많이탔는지 난 도통 모르겠다"
"128","미나리","8","가족애를 느끼게하는 훈훈한 영화잘봤습니다"
"129","극장판 귀멸의 칼날: 무한열차편","10","애니로 표현된 장면들과 액션씬은 입이 다물어지지 않을정도였다 애니는 그저 잔잔하고플때 편하게 보는 장르였는데 온 신경을 집중시키는 작품이였다 그야말로 요즘말로 가슴이 웅장해졌다 최고의 작품이였다"
"130","소울","6","앞부분에 토끼굴은 왜 보여줬는지 모르겠음 성인이 보고 즐길만한 내용은 아닌듯"
"131","미나리","10","어떤 역사영화보다 감동적"
"132","극장판 귀멸의 칼날: 무한열차편","10","키부츠지 무잔은 등장 안하나요? 왜"
"133","극장판 귀멸의 칼날: 무한열차편","10","키부츠지 무잔은 등장 안하나요? 왜"
"134","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"135","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"136","협상","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"137","협상","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"138","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠...허헝..ㅠㅠ.."
"139","라스트 레터","10","꼭보세요 영화 감동적이에요연기 전개 부터 완벽합니다저만 볼수는 없잖아요꼭보세요!!!! 감동 재미 그리고 너무 재미있어서 말이안나옵니다 보세요!!!꼭 !!!나만 돈 버릴수는 없잖아요"
"140","라스트 레터","10","꼭보세요 영화 감동적이에요연기 전개 부터 완벽합니다저만 볼수는 없잖아요꼭보세요!!!! 감동 재미 그리고 너무 재미있어서 말이안나옵니다 보세요!!!꼭 !!!나만 돈 버릴수는 없잖아요"
"141","용의자 X의 헌신","10","이시가미에게만 10점을"
"142","당갈","10","아미르캰의 영화는언제나 최고다"
"143","시간의 끝에서 널 기다려","9","저런 맹목적 사랑이 정말 있을까?어린시절엔 엄마가 전부인데 엄마를 잃은 아이에게 철없는 친구들의 괴롭힘. 그때 손잡아준 여자애는 구원자였고 희망이었고 행복이었겠죠. 각인된 오리처럼 무조건 따라간 감정이었으니까 그 사람을 잃고선 살 수 없었던게 아닐까.. 자신의 삶을 다 내어주고서라도  시간을 돌리고 싶었던.. 그 남자의 사랑에 가슴이 먹먹해져 옵니다"
"144","미나리","9","우리나라도 이런 영화가 나올련지"
"145","007 골든 아이","8","페테르스부르크를 뒤집어엎는 제임스본드.구소련 때는 상상도 못할..티나 터너가 주제가 불러. 골든 아아이~"
"146","협상","9","영화잘봐습니다손예진누나좋아합니닫"
"147","협상","9","영화잘봐습니다손예진누나좋아합니닫"
"148","세자매","10","인내 인내 참아라 참아라 쩐다 쩔어~ 쩔어 와 짜증 극기훈련 ~ 환장해"
"149","미나리","10","진짜 너무 감동적인 영화에요 ㅠㅠㅠ"
"150","콜 오브 와일드","10","마음 편하게 힐링주는 아름다운 영화!"
"151","미나리","9","알싸하고 울컥하지만, 푸근한 봄내음 듬뿍담긴 미나리의 향기"
